,SMILES,Inchi
0,C1=CC=C(C(=C1)C(CO)O)[N+](=O)[O-],"InChI=1S/C8H9NO4/c10-5-8(11)6-3-1-2-4-7(6)9(12)13/h1-4,8,10-11H,5H2"
1,CCOC(C)OCC(CC#CCO)OC(=O)C,"InChI=1S/C12H20O5/c1-4-15-11(3)16-9-12(17-10(2)14)7-5-6-8-13/h11-13H,4,7-9H2,1-3H3"
2,CC(=O)OC(C/C=C\C/C=C\CCCC(=O)OC)CO,"InChI=1S/C15H24O5/c1-13(17)20-14(12-16)10-8-6-4-3-5-7-9-11-15(18)19-2/h3,5-6,8,14,16H,4,7,9-12H2,1-2H3/b5-3-,8-6-"
3,CC1(C(=O)CC(C2=CC=CC=C21)CCO)C,"InChI=1S/C14H18O2/c1-14(2)12-6-4-3-5-11(12)10(7-8-15)9-13(14)16/h3-6,10,15H,7-9H2,1-2H3"
4,C1=CC=C(C=C1)CCCO,"InChI=1S/C9H12O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,10H,4,7-8H2"
5,CC(CC1=CC=CC=C1)CO,"InChI=1S/C10H14O/c1-9(8-11)7-10-5-3-2-4-6-10/h2-6,9,11H,7-8H2,1H3"
6,COC(=O)CCCCCCCCCO,"InChI=1S/C11H22O3/c1-14-11(13)9-7-5-3-2-4-6-8-10-12/h12H,2-10H2,1H3"
7,CC1C(CC(CC1=O)C(=C)C)CO,"InChI=1S/C11H18O2/c1-7(2)9-4-10(6-12)8(3)11(13)5-9/h8-10,12H,1,4-6H2,2-3H3"
8,COC(=O)CCCCO,"InChI=1S/C6H12O3/c1-9-6(8)4-2-3-5-7/h7H,2-5H2,1H3"
9,C1CCOC(C1)OCCCCO,"InChI=1S/C9H18O3/c10-6-2-4-8-12-9-5-1-3-7-11-9/h9-10H,1-8H2"
10,C(CCCCCC(=O)CCC(=O)O)CCCCCO,"InChI=1S/C15H28O4/c16-13-9-7-5-3-1-2-4-6-8-10-14(17)11-12-15(18)19/h16H,1-13H2,(H,18,19)"
11,COCCCCCO,"InChI=1S/C6H14O2/c1-8-6-4-2-3-5-7/h7H,2-6H2,1H3"
12,C1=CC=C2C(=C1)C(=CN2)CCO,"InChI=1S/C10H11NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,7,11-12H,5-6H2"
13,CCCC/C=C/CCCO,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h5-6,10H,2-4,7-9H2,1H3/b6-5+"
14,CC1(CC(CO1)(CC=C)CO)C,"InChI=1S/C10H18O2/c1-4-5-10(7-11)6-9(2,3)12-8-10/h4,11H,1,5-8H2,2-3H3"
15,CC(=O)NC(CO)C#N,"InChI=1S/C5H8N2O2/c1-4(9)7-5(2-6)3-8/h5,8H,3H2,1H3,(H,7,9)"
16,C([C@@H](C(=O)O)N)O,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1"
