Solvent Name,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR
CIS-DECALIN,1.5601851851851851,1.5601851851851851,1.1550925925925926,1.1550925925925926,0.48119319693405355,40.8,138.254,120.10999999999997,138.140850576,58,0,-0.03858457793998495,-0.05302166586531271,0.05302166586531271,0.03858457793998495,0.5,0.8,1.1,14.319766871069124,9.709527137905743,2.26292170199422,-2.3473474271087666,2.3945515811820894,-2.221595083137486,4.782737938129142,0.171046854201054,2.0504144813943355,1.9253677344386608,80.60593781761291,6.811554787871634,6.811554787871632,6.811554787871632,4.9663264951887856,4.966326495188785,4.966326495188785,4.089073411524035,4.089073411524035,3.466326495188785,3.466326495188785,2.8575892353471586,2.8575892353471586,0.0,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,25.683286491704038,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310185185185185,0.0,12.356481481481481,0.0,0.0,1.0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1.9672794737729806,2,3.3668000000000022,43.91600000000002
N-HEXADECANE,2.2902201417224934,2.2902201417224934,1.3727777777777779,1.3727777777777779,0.3149047241460033,10.875,226.44799999999992,192.17599999999996,226.26605108799998,98,0,-0.05330597278912537,-0.06538238322279266,0.06538238322279266,0.05330597278912537,0.3125,0.5,0.6875,13.98776472858045,10.046019746831565,1.9232346627840138,-2.0184904120617633,2.120864728580438,-1.8208802531684363,4.479764728580435,0.5380197468315645,2.306121219004528,2.828262412638549,92.6059378176129,11.899494936611669,11.899494936611669,11.899494936611669,7.914213562373096,7.914213562373094,7.914213562373094,5.242640687119284,5.242640687119284,3.457106781186547,3.457106781186547,2.2677669529663675,2.2677669529663675,0.0,16.0,15.0,14.0,104.2133827437787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.73897712034541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.73897712034541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.73897712034541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89150272096417,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.419559716555014,4.580440283444987,0.0,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15.0,0,6.487600000000007,75.98600000000008
N-PENTADECANE,2.2879979195002713,2.2879979195002713,1.3724489795918366,1.3724489795918366,0.3429502160022288,10.8,212.42099999999994,180.16499999999996,212.25040102399998,92,0,-0.053305972789135014,-0.06538238322279266,0.06538238322279266,0.053305972789135014,0.3333333333333333,0.5333333333333333,0.7333333333333333,13.982560110947894,10.050392217470378,1.917992062514946,-2.014157426642645,2.115660110947922,-1.8165077825296245,4.474560110947918,0.542392217470372,2.2593895430561943,2.8079257388805243,84.2114326716684,11.192388155425121,11.192388155425121,11.192388155425121,7.414213562373096,7.414213562373094,7.414213562373094,4.88908729652601,4.88908729652601,3.207106781186547,3.207106781186547,2.0909902576697306,2.0909902576697306,0.0,15.0,14.0,14.0,97.84844062938208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3181554974194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3181554974194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.3181554974194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.47068109803816,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92400416099946,4.575995839000543,0.0,1.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14.0,0,6.097500000000006,71.36900000000007
DECALIN,1.5601851851851851,1.5601851851851851,1.1550925925925926,1.1550925925925926,0.48119319693405355,40.8,138.254,120.10999999999997,138.140850576,58,0,-0.03858457793998495,-0.05302166586531271,0.05302166586531271,0.03858457793998495,0.5,0.8,1.1,14.319766871069124,9.709527137905743,2.26292170199422,-2.3473474271087666,2.3945515811820894,-2.221595083137486,4.782737938129142,0.171046854201054,2.0504144813943355,1.9253677344386608,80.60593781761291,6.811554787871634,6.811554787871632,6.811554787871632,4.9663264951887856,4.966326495188785,4.966326495188785,4.089073411524035,4.089073411524035,3.466326495188785,3.466326495188785,2.8575892353471586,2.8575892353471586,0.0,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,25.683286491704038,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310185185185185,0.0,12.356481481481481,0.0,0.0,1.0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1.9672794737729806,2,3.3668000000000022,43.91600000000002
N-DODECANE,2.279016096988229,2.279016096988229,1.3708677685950414,1.3708677685950414,0.43046430405249847,10.5,170.33999999999997,144.13199999999998,170.203450832,74,0,-0.05330597417108836,-0.06538238322279266,0.06538238322279266,0.05330597417108836,0.4166666666666667,0.6666666666666666,0.9166666666666666,13.960404810851868,10.07005824878275,1.8956419942770424,-1.9946923570827892,2.093504810851858,-1.7968417512172512,4.452404810851859,0.5620582487827479,2.098390961316241,2.72724281291869,56.43856189774725,9.071067811865477,9.071067811865477,9.071067811865477,5.914213562373096,5.914213562373094,5.914213562373094,3.828427124746189,3.828427124746189,2.457106781186547,2.457106781186547,1.5606601717798205,1.5606601717798205,0.0,12.0,11.0,10.0,78.75361428619225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20821622926012,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.441967806023545,4.558032193976458,0.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11.0,0,4.9272000000000045,57.51800000000005
TRANS-DECALIN,1.5601851851851851,1.5601851851851851,1.1550925925925926,1.1550925925925926,0.48119319693405355,40.8,138.254,120.10999999999997,138.140850576,58,0,-0.03858457793998495,-0.05302166586531271,0.05302166586531271,0.03858457793998495,0.5,0.8,1.1,14.319766871069124,9.709527137905743,2.26292170199422,-2.3473474271087666,2.3945515811820894,-2.221595083137486,4.782737938129142,0.171046854201054,2.0504144813943355,1.9253677344386608,80.60593781761291,6.811554787871634,6.811554787871632,6.811554787871632,4.9663264951887856,4.966326495188785,4.966326495188785,4.089073411524035,4.089073411524035,3.466326495188785,3.466326495188785,2.8575892353471586,2.8575892353471586,0.0,6.694214876033058,2.938775510204082,1.2098765432098766,64.01206775034058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,11.835812092322787,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,51.36657298340809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,25.683286491704038,25.683286491704038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310185185185185,0.0,12.356481481481481,0.0,0.0,1.0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1.9672794737729806,2,3.3668000000000022,43.91600000000002
HEXANOIC ACID,9.874124149659863,9.874124149659863,0.3272222222222223,-0.6819907407407404,0.5668732042121558,9.125,116.15999999999998,104.06399999999998,116.083729624,48,0,0.30283955508920857,-0.48123038978903615,0.48123038978903615,0.30283955508920857,1.5,2.125,2.5,16.3651171557072,10.192969759239665,1.922593033134046,-1.8929486356541232,1.9665585999543158,-1.9210552139374126,5.660110532459972,-0.13664414147432088,1.6646727945202302,2.822354554248032,62.43856189774725,6.405777393935816,5.183889010710011,5.183889010710011,3.770055610029662,2.9883911147617317,2.9883911147617317,1.8508453244099006,1.8508453244099006,0.9941955573808657,0.9941955573808657,0.5262257251529125,0.5262257251529125,-0.53,7.470000000000001,4.624559505409582,5.469999999999999,49.51971745205236,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,19.765380445542643,6.4208216229260096,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,32.60702369139466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,32.60702369139466,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,0.0,6.4208216229260096,19.26246486877803,0.0,0.0,0.0,6.923737199690624,5.106527394840706,0.0,0.0,9.874124149659863,8.140104875283447,0.0,-0.6819907407407404,0.0,3.277037037037037,2.05739134542706,0.0,0.8333333333333334,8,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,0,0,4.318182438176198,0,1.6513,31.77779999999998
CYCLOHEXANE,1.5,1.5,1.5,1.5,0.42231618686094674,24.0,84.162,72.06599999999999,84.093900384,36,0,-0.0533059727891157,-0.0533059727891157,0.0533059727891157,0.0533059727891157,0.3333333333333333,0.5,0.6666666666666666,14.014,10.012,1.9496940272108838,-2.052305972789116,2.1470999999999996,-1.8548999999999998,4.506,0.5039999999999998,1.719973094021975,2.0,15.509775004326936,4.242640687119286,4.242640687119285,4.242640687119285,3.0,2.9999999999999996,2.9999999999999996,2.121320343559642,2.121320343559642,1.4999999999999996,1.4999999999999996,1.0606601717798207,1.0606601717798207,0.0,4.166666666666667,2.2222222222222223,1.0,39.55813044628337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5432098765432098,1,2.3406000000000002,27.701999999999984
N-DECANE,2.2698838655832705,2.2698838655832705,1.3688271604938271,1.3688271604938271,0.4684089279615184,10.2,142.286,120.10999999999997,142.172150704,62,0,-0.053306146439862805,-0.06538238322279266,0.06538238322279266,0.053306146439862805,0.5,0.8,1.1,13.935876276700968,10.092933038718229,1.8708479928080215,-1.9720888623059794,2.068976276700974,-1.7739669612817646,4.427876276700977,0.5849330387182341,1.9671544718900458,2.6476048489438337,40.0,7.6568542494923815,7.6568542494923815,7.6568542494923815,4.914213562373096,4.914213562373094,4.914213562373094,3.121320343559642,3.121320343559642,1.9571067811865472,1.9571067811865472,1.207106781186547,1.207106781186547,0.0,10.0,9.0,8.0,66.02373005739904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21404738278933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21404738278933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.21404738278933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.36657298340809,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46023226883346,4.539767731166541,0.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9.0,0,4.147000000000004,48.28400000000003
N-UNDECANE,2.2748838655832704,2.2748838655832704,1.37,1.37,0.4526177505443085,10.363636363636363,156.313,132.12099999999998,156.187800768,68,0,-0.053305975542553626,-0.06538238322279266,0.06538238322279266,0.053305975542553626,0.45454545454545453,0.7272727272727273,1.0,13.949555876360234,10.080083079100119,1.8846812289831505,-1.984781956019018,2.0826558763602407,-1.7868169208998732,4.441555876360238,0.5720830791001252,2.0339309928768716,2.6909155266923976,49.05865002596163,8.36396103067893,8.36396103067893,8.36396103067893,5.414213562373096,5.414213562373094,5.414213562373094,3.4748737341529154,3.4748737341529154,2.207106781186547,2.207106781186547,1.3838834764831838,1.3838834764831838,0.0,11.0,10.0,10.0,72.38867217179563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.63486900571534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.63486900571534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.63486900571534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.787394606334104,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95023226883346,4.549767731166541,0.0,1.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10.0,0,4.537100000000004,52.90100000000004
