,Solvent,SMILES,Kd 20C,type,ML
0,1-Butanol,CCCCO,0.92,r,0.9143235739185905
1,1-Hexanol,CCCCCCO,0.37,r,0.3459253067434127
4,1-Heptanol,CCCCCCCO,0.22,r,0.2530996102685238
5,1-Octanol,CCCCCCCCO,0.22,r,0.21545594246200703
6,1-Nonanol,CCCCCCCCCO,0.14,r,0.1853268605799873
9,Ethyl acetate,CCOC(=O)C,0.19,r,0.045525583676642466
13,n-Pentyl acetate,CCCCCOC(=O)C,0.04,r,0.044526597972880076
19,Toluene,CC1=CC=CC=C1,0.01,r,0.042894774393217344
20,Methylcycohexane,CC1CCCCC1,0.005,r,0.0426841031949347
22,Dodecane,CCCCCCCCCCCC,0.03,r,0.04262298250935819
23,Hexadecane,CCCCCCCCCCCCCCCC,0.03,r,0.042614664280446184
2,2-Hexanol,CCCCC(C)O,0.35,b,0.37565490825136433
3,4-Methyl-2-pentanol,CC(C)CC(C)O,0.3,b,0.41367015938388974
7,"3,7-Dimethyl-1-octanol",CC(C)CCCC(C)CCO,0.11,b,0.14220869104883607
8,Oleyl alcohol,CCCCCCCC/C=C\CCCCCCCCO,0.07,b,0.10587155822115804
10,Isopropyl acetate,CC(C)COC(=O)C,0.1,b,0.044436514569389636
11,sec-Butyl acetate,CCC(C)OC(=O)C,0.04,b,0.04417499338791727
12,Isobutyl acetate,CC(C)OC(=O)C,0.05,b,0.04417489793205869
14,Butyl butyrate,CCCCOC(=O)CCC,0.03,b,0.04434079136828205
15,n-Hexyl acetate,CCCCCCOC(=O)C,0.03,b,0.04443459144543553
16,Dibutyl oxalate,CCCCOC(=O)C(=O)OCCCC,0.01,b,0.04315931450906857
17,Diethyl adipate,CCOC(=O)CCCCC(=O)OCC,0.03,b,0.043410721438505884
18,Isopropyl myristate,CCCCCCCCCCCCCC(=O)OC(C)C,0.02,b,0.04379151434781156
21,tert-Butylcyclohexane,CC(C)(C)C1CCCCC1,0.01,b,0.04265310259832485
0,2-Methyl-1-butanol,CCC(C)CO,0.62,g,0.5015595148874554
1,3-Methyl-1-butanol,CC(C)CCO,0.6,g,0.5659081549511336
2,3-Pentanol,CCC(CC)O,0.52,g,0.44818189671108916
3,2-Ethyl-1-butanol,CCC(CC)CO,0.35,g,0.3247637726346238
4,3-Hexanol,CCCC(CC)O,0.32,g,0.33743699042573627
5,2-Cyclohexylethanol,C1CCC(CC1)CCO,0.35,g,0.2807851965156151
6,"2-Ethyl-1,3-hexanediol",CCCC(C(CC)CO)O,0.35,g,0.11538881034680418
