Solvent Name,Energy,Free Energy,JobID,SMILES,Solvent Inchi,deltaG_Sol-Wat(kcal/mol),logP at 25C
N-HEXADECANE,-76.43051728,-76.42712734, job_126 ,CCCCCCCCCCCCCCCC,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",5.815025501556934,-4.262113442174034
N-PENTADECANE,-76.43052092,-76.42713068, job_150 ,CCCCCCCCCCCCCCC,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",5.812929621492951,-4.260577270304882
N-DODECANE,-76.4305422,-76.4271508, job_115 ,CCCCCCCCCCCC,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",5.800304140411654,-4.251323444570825
N-NONANE,-76.4305597,-76.42716618, job_148 ,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",5.790653051995689,-4.244249695081974
N-DECANE,-76.4305611,-76.42716881, job_96 ,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",5.789002703327359,-4.243040074721464
N-OCTANE,-76.43057089,-76.42717646, job_149 ,CCCCCCCC,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",5.784202259476995,-4.239521597243153
N-HEPTANE,-76.43057454,-76.42717861, job_125 ,CCCCCCC,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",5.7828531151268345,-4.23853274409561
N-UNDECANE,-76.43057467,-76.42718259, job_174 ,CCCCCCCCCCC,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",5.7803556293052925,-4.236702215942503
N-PENTANE,-76.43058533,-76.42718547, job_152 ,CCCCC,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",5.778548403387358,-4.235377612658165
N-HEXANE,-76.43058378,-76.42718637, job_127 ,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",5.777983645285217,-4.234963674129767
CYCLOHEXANE,-76.43057711,-76.42718641, job_89 ,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,5.77795854492314,-4.234945276860386
CYCLOPENTANE,-76.43058412,-76.42719076, job_91 ,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,5.775228880774682,-4.232944573981843
"2,4-DIMETHYLPENTANE",-76.43062445,-76.42722789, job_34 ,CC(C)CC(C)C,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",5.751929471607506,-4.21586731009374
2-METHYLPENTANE,-76.43063858,-76.42724196, job_45 ,CCCC(C)C,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",5.743100419973758,-4.209396071121569
CIS-DECALIN,-76.43062388,-76.4272421, job_95 ,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",5.7430125687154066,-4.2093316806852705
"CIS-1,2-DIMETHYLCYCLOHEXANE",-76.43063177,-76.42724345, job_108 ,C[C@@H]1CCCC[C@@H]1C,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",5.742165431562195,-4.208710772892673
METHYLCYCLOHEXANE,-76.43064493,-76.42725503, job_142 ,CC1CCCCC1,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",5.7348988773473435,-4.20338476385125
DECALIN,-76.43064318,-76.4272608, job_94 ,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",5.731278150416498,-4.20073095796196
TRANS-DECALIN,-76.43066197,-76.42727897, job_170 ,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",5.719876311883895,-4.192373999035074
"2,2,4-TRIMETHYLPENTANE",-76.43068067,-76.42728666, job_33 ,CC(C)CC(C)(C)C,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",5.715050767680371,-4.188837124293916
PERFLUOROBENZENE,-76.43088686,-76.42749892, job_156 ,C1(=C(C(=C(C(=C1F)F)F)F)F)F,InChI=1S/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9,5.5818557073327995,-4.091212022394266
1-PENTENE,-76.43099879,-76.42760962, job_30 ,CCCC=C,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",5.512390461036968,-4.040297583597372
TETRACHLOROETHENE,-76.43099879,-76.42762129, job_163 ,C(=C(Cl)Cl)(Cl)Cl,InChI=1S/C2Cl4/c3-1(4)2(5)6,5.505067431002985,-4.034930180696572
1-HEXENE,-76.43103123,-76.42764615, job_20 ,CCCCC=C,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3",5.489467557265274,-4.023496278723845
E-2-PENTENE,-76.43106075,-76.42767489, job_52 ,CC/C=C/C,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+",5.471432948602296,-4.010277841764927
CARBON TETRACHLORIDE,-76.43122397,-76.42784646, job_82 ,C(Cl)(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",5.363771229477306,-3.931367360604126
"E-1,2-DICHLOROETHENE",-76.43126527,-76.42797106, job_100 ,C(=C/Cl)\Cl,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,5.285583608073177,-3.8740598712201275
N-BUTYLBENZENE,-76.4313498,-76.42797819, job_78 ,CCCCC1=CC=CC=C1,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",5.281109468903058,-3.8707805582241632
P-ISOPROPYLTOLUENE,-76.43136142,-76.42798483, job_133 ,CC1=CC=C(C=C1)C(C)C,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",5.276942809146088,-3.86772661176178
P-XYLENE,-76.43137597,-76.428001, job_179 ,CC1=CC=C(C=C1)C,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",5.266795988619234,-3.8602895162320605
SEC-BUTYLBENZENE,-76.43138015,-76.42800814, job_79 ,CCC(C)C1=CC=CC=C1,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3",5.262315574354138,-3.8570056039154834
