Solvent Name,SMILES,Inchi,deltaG_bdo,deltaG_wat
CIS-DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.271077257610235,5.7430125687154066
N-HEXADECANE,CCCCCCCCCCCCCCCC,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",4.251875482208777,5.815025501556934
N-PENTADECANE,CCCCCCCCCCCCCCC,"InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",4.236062255420166,5.812929621492951
DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.214726949402693,5.731278150416498
N-DODECANE,CCCCCCCCCCCC,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",4.159443406520993,5.800304140411654
TRANS-DECALIN,C1CCC2CCCCC2C1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",4.158376641195151,5.719876311883895
HEXANOIC ACID,CCCCCC(=O)O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",4.156180359700696,4.67125229707258
CYCLOHEXANE,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,4.108740679299192,5.77795854492314
N-DECANE,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",4.095186484919146,5.789002703327359
N-UNDECANE,CCCCCCCCCCC,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",4.0727844136115,5.7803556293052925
"CIS-1,2-DIMETHYLCYCLOHEXANE",C[C@@H]1CCCC[C@@H]1C,"InChI=1S/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8+",4.0667603272124415,5.742165431562195
N-NONANE,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",4.062179511516873,5.790653051995689
CYCLOPENTANE,C1CCCC1,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,4.017061614402373,5.775228880774682
