,SMILES,deltaG_predicted,P_bdo,K_bdo,PubChem Name 1,PubChem Name 2
6659,CCCCCCO,-1.1315322483799033,6.750791781811793,0.4048674652890917,1-Hexanol,Hexyl alcohol
6660,CC(C)CCC(C)O,-1.1392023945370189,6.838746950397529,0.4098624393130757,5-METHYL-2-HEXANOL,5-Methylhexan-2-ol
6661,CC(C(C)(C)C)O,-1.1409063609101229,6.858441734906945,0.4109809061253654,"3,3-DIMETHYL-2-BUTANOL",464-07-3
6662,CC(COC)O,-1.1416147184941297,6.866645754560376,0.4114468124014838,1-Methoxy-2-propanol,107-98-2
6663,CC(=C=CCC=C)CO,-1.1446620519874149,6.902051271986547,0.413457491736116,"2-methyl-2,3,6-heptatrien-1-ol","2-methyl-hepta-2,3,6-trien-1-ol"
6664,C=C/C=C/CCCCO,-1.150157994261556,6.966368170151395,0.4171100483828977,SCHEMBL875407,"(5E)-5,7-octadien-1-ol"
6665,CC/C(=C\CCO)/C,-1.1514404496128916,6.981462290855624,0.4179672434976909,(3Z)-4-methyl-3-hexen-1-ol,OPKSUXHYTUKXGR-ALCCZGGFSA-
6666,CC(CN(C)C)O,-1.1601285411747395,7.084583431322232,0.4238234930647895,1-Dimethylamino-2-propanol,108-16-7
6667,CCC(=C=C)CO,-1.1634754967491168,7.124714478010702,0.4261025352062277,"2-ethyl-buta-2,3-dien-1-ol",761-05-7
6668,CCCC(C)CO,-1.170315228399899,7.207433348183977,0.430800139843368,2-METHYL-1-PENTANOL,2-Methylpentan-1-ol
6669,CCC(C)(CC)O,-1.171535536221082,7.222292238868141,0.4316439762453217,3-METHYL-3-PENTANOL,77-74-7
6670,CCC(CC)CO,-1.173118007806978,7.241606589542979,0.4327408382201458,2-Ethyl-1-butanol,2-Ethylbutan-1-ol
6671,CCC(C(C)C)O,-1.173163829544682,7.242166620900601,0.4327726424009451,2-METHYL-3-PENTANOL,2-Methylpentan-3-ol
6672,CC(=CC/C=C/CO)C,-1.1791887140938804,7.316181007995333,0.4369759194440549,"(2E)-6-methyl-2,5-heptadien-1-ol","(2E)-6-methyl-hepta-2,5-dien-1-ol"
6673,CC(C)/C=C/CCO,-1.182326935635534,7.355032499469568,0.4391822956448768,SCHEMBL4283551,SCHEMBL4283553
6674,CCCC(CC)O,-1.183617537699197,7.3710700884664995,0.4400930703240125,3-HEXANOL,623-37-0
6675,CC(=CCCCO)C,-1.1941770040741757,7.503607077774199,0.4476198459467967,5-methylhex-4-en-1-ol,42272-94-6
6676,C/C(=C\CC=C)/CO,-1.1979797906939595,7.551919129317778,0.4503634873539566,"(2E)-2-methyl-2,5-hexadien-1-ol","(2E)-2-methyl-hexa-2,5-dien-1-ol"
6677,C/C(=C\CCO)/C=C,-1.1996566425189443,7.5733211981390225,0.4515789108423151,"(3E)-4-methyl-3,5-hexadien-1-ol",3673-58-3
6678,CCC/C=C/CCO,-1.2030685366270006,7.617055476149807,0.4540625804905475,3-Hepten-1-ol,(E)-Hept-3-en-1-ol
6679,CC(=C)C(=C)CO,-1.20781762602149,7.678350908722164,0.4575435481063317,3-Methyl-2-methylene-3-buten-1-ol,3-methyl-2-methylidenebut-3-en-1-ol
6680,CCCCC(C)O,-1.2241850891431207,7.893406360684421,0.4697565472232682,2-HEXANOL,hexan-2-ol
6681,CC(C)CCCO,-1.2256399777237317,7.912811490596778,0.470858564550991,4-METHYL-1-PENTANOL,4-Methylpentan-1-ol
6682,CC(CC=C)CO,-1.236670431801539,8.061494700347668,0.479302284032744,2-Methyl-4-penten-1-ol,5673-98-3
6683,CC(C)C(C)(C)O,-1.2684008708523355,8.504961387991937,0.5044867572240621,"2,3-DIMETHYL-2-BUTANOL",594-60-5
6684,C/C=C/C=C=CCO,-1.2726885329871185,8.56672806497274,0.5079944868098019,"(5E)-2,3,5-heptatrien-1-ol","(5E)-hepta-2,3,5-trien-1-ol"
6685,C=CCC/C=C/CO,-1.2868369190099511,8.773745196760931,0.5197509897240532,"(2E)-hepta-2,6-dien-1-ol","(2E)-2,6-heptadien-1-ol"
6686,CC(C)(C)CCO,-1.2910281461556563,8.836025707847677,0.5232878999486695,"3,3-DIMETHYL-1-BUTANOL","3,3-Dimethylbutan-1-ol"
6687,CC(C)(C)CO,-1.3119921394396916,9.154244238651389,0.5413595303130124,NEOPENTYL ALCOHOL,75-84-3
6688,CCCC(C)O,-1.314788444569224,9.19754756932168,0.5438187264617783,2-PENTANOL,Pentan-2-ol
6689,CC/C=C/CCO,-1.315823650627474,9.213630579953929,0.5447320806355835,trans-3-Hexen-1-ol,928-97-2
6690,C=CCCCCO,-1.32194993166771,9.309386104442089,0.5501700368712661,5-Hexen-1-ol,821-41-0
